id,name,price,description,image,category,discount
1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops","Rp100,000","Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday",https://i.imgur.com/RInLS1A.png,men's clothing,0
2,Mens Casual Premium Slim Fit T-Shirts ,"Rp200,000","Slim-fitting style, contrast raglan long sleeve, three-button henley placket, light weight & soft fabric for breathable and comfortable wearing.",https://fakestoreapi.com/img/71-3HjGNDUL._AC_SY879._SX._UX._SY._UY_t.png,men's clothing,10
3,Mens Cotton Jacket,"Rp200,000","great outerwear jackets for Spring/Autumn/Winter, suitable for many occasions, such as working, hiking, camping, mountain/rock climbing, cycling, traveling or other outdoors.",https://fakestoreapi.com/img/71li-ujtlUL._AC_UX679_t.png,men's clothing,0
4,Mens Casual Slim Fit,"Rp200,000",The color could be slightly different between on the screen and in practice. / Please note that body builds vary by person,https://fakestoreapi.com/img/71YXzeOuslL._AC_UY879_t.png,men's clothing,20
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,"Rp200,000","From our Legends Collection, the Naga was inspired by the mythical water dragon that protects the ocean's pearl. Wear facing inward to be bestowed with love and abundance",https://fakestoreapi.com/img/71pWzhdJNwL._AC_UL640_QL65_ML3_t.png,jewelery,0
6,Solid Gold Petite Micropave ,"Rp200,000",Satisfaction Guaranteed. Return or exchange any order within 30 days.Designed and sold by Hafeez Center in the United States.,https://fakestoreapi.com/img/61sbMiUnoGL._AC_UL640_QL65_ML3_t.png,jewelery,5
7,White Gold Plated Princess,"Rp200,000","Classic Created Wedding Engagement Solitaire Diamond Promise Ring for Her. Gifts to spoil your love more for Engagement, Wedding, Anniversary",https://fakestoreapi.com/img/71YAIFU48IL._AC_UL640_QL65_ML3_t.png,jewelery,0
8,Pierced Owl Rose Gold Plated Stainless Steel Double,"Rp200,000",Rose Gold Plated Double Flared Tunnel Plug Earrings. Made of 316L Stainless Steel,https://fakestoreapi.com/img/51UDEzMJVpL._AC_UL640_QL65_ML3_t.png,jewelery,0
9,WD 2TB Elements Portable External Hard Drive - USB 3.0 ,"Rp200,000",USB 3.0 and USB 2.0 Compatibility Fast data transfers Improve PC Performance High Capacity; Compatibility Formatted NTFS for Windows 10,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_t.png,electronics,15
10,SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s,"Rp200,000","Easy upgrade for faster boot up, shutdown, application load and response (As compared to 5400 RPM SATA 2.5” hard drive; Based on published specifications and internal benchmarking tests",https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_t.png,electronics,0
11,Silicon Power 256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5,"Rp200,000",3D NAND flash are applied to deliver high transfer speeds Remarkable transfer speeds that enable faster bootup and improved overall system performance.,https://fakestoreapi.com/img/71kWymZ+c+L._AC_SX679_t.png,electronics,0
12,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,"Rp200,000","Expand your PS4 gaming experience, Play anywhere Fast and easy, setup Sleek design with high capacity, 3-year manufacturer's limited warranty",https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_t.png,electronics,25
13,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin,"Rp200,000",21. 5 inches Full HD (1920 x 1080) widescreen IPS display And Radeon free Sync technology. No compatibility for VESA Mount Refresh Rate: 75Hz,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_t.png,electronics,0
14,Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) – Super Ultrawide Screen QLED ,"Rp200,000",49 INCH SUPER ULTRAWIDE 32:9 CURVED GAMING MONITOR with dual 27 inch screen side by side QUANTUM DOT (QLED) TECHNOLOGY,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_t.png,electronics,10
15,BIYLACLESEN Women's 3-in-1 Snowboard Jacket Winter Coats,"Rp200,000","Note:The Jackets is US standard size, Please choose size as your usual wear Material: 100% Polyester; Detachable Liner Fabric: Warm Fleece.",https://fakestoreapi.com/img/51Y5NI-I5jL._AC_UX679_t.png,women's clothing,0
16,Lock and Love Women's Removable Hooded Faux Leather Moto Biker Jacket,"Rp200,000","100% POLYURETHANE(shell) 100% POLYESTER(lining) 75% POLYESTER 25% COTTON (SWEATER), Faux leather material for style and comfort",https://fakestoreapi.com/img/81XH0e8fefL._AC_UY879_t.png,women's clothing,0
17,Rain Jacket Women Windbreaker Striped Climbing Raincoats,"Rp200,000","Lightweight perfet for trip or casual wear---Long sleeve with hooded, adjustable drawstring waist design. Button and zipper front closure raincoat",https://fakestoreapi.com/img/71HblAHs5xL._AC_UY879_-2t.png,women's clothing,15
18,MBJ Women's Solid Short Sleeve Boat Neck V ,"Rp200,000","95% RAYON 5% SPANDEX, Made in USA or Imported, Do Not Bleach, Lightweight fabric with great stretch for comfort",https://fakestoreapi.com/img/71z3kpMAYsL._AC_UY879_t.png,women's clothing,0
19,Opna Women's Short Sleeve Moisture,"Rp200,000","100% Polyester, Machine wash, 100% cationic polyester interlock, Machine Wash & Pre Shrunk for a Great Fit, Lightweight, roomy",https://fakestoreapi.com/img/51eg55uWmdL._AC_UX679_t.png,women's clothing,0
20,DANVOUY Womens T Shirt Casual Cotton Short,"Rp200,000","95%Cotton,5%Spandex, Features: Casual, Short Sleeve, Letter Print,V-Neck,Fashion Tees, The fabric is soft and has some stretch.",https://fakestoreapi.com/img/61pHAEJ4NML._AC_UX679_t.png,women's clothing,0